release_file,relationship,source_file,source_sha256,release_sha256,notes
scripts/01_prepare_vta_event_unit_table.py,derived from,run_vta_lisbet_posthoc_conditionA_same_as_yours_fixed.py,e4cd668ae87df640c201261b8c7957376fc015ba352bcdc84dff5961afdc0de4,1a30a73fd11dcfa3f4e8d68a0d4f03a3df9e00f60d9a5d5235901b2070d6c78f,path handling and terminal messages changed
scripts/02_run_vta_model_comparison.py,derived from,run_vta_lisbet_posthoc_conditionA_same_as_yours_fixed.py,e4cd668ae87df640c201261b8c7957376fc015ba352bcdc84dff5961afdc0de4,4c9ffe4b6fe98f12c7b22df2403cec9c9b74ac3c69e18cb29b7f3fe54fda2bf4,CLI wrapper and validation added; formulas/calculations unchanged
scripts/03_run_vta_robustness_analyses.py,exact copy,run_vta_lisbet_residual_robustness_fast.py,59c288f182e6c7ea849ff83badc2e57c5f715f4b8e9be9f5db5fc2d07fded270,59c288f182e6c7ea849ff83badc2e57c5f715f4b8e9be9f5db5fc2d07fded270,byte-for-byte identical
notebooks/04_plot_vta_figure.ipynb,exact retained code cell,vta-plots.ipynb final plotting cell,2748fc9f15f4028bd15fd16737e5449b86e76522f206b7dd03c7a1a918328d50,3de6f860fcfe21df99d18252f9a0007660bebead4cfb462f5a552bbfc8b74318,earlier cells and outputs removed
config/lisbet.mplstyle,exact copy,vta_posthoc_results/lisbet.mplstyle,9456a0ea3a39b72fcaddf93fdc2cfe2decc9b70bc71a7eb6ac81511da68dc4ab,9456a0ea3a39b72fcaddf93fdc2cfe2decc9b70bc71a7eb6ac81511da68dc4ab,byte-for-byte identical
