record_key,mouse_record,sex_group,version,annotator_a,annotator_b,n_frames_compared,accuracy,balanced_accuracy,macro_f1,cohen_kappa,mcc,ari,nmi
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator2,24292,0.9731187222130743,0.9675061681262417,0.9652249248762114,0.9459645589826463,0.9459842766898172,0.9190618796449983,0.8466353938724892
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator3,24292,0.9585871891980899,0.9332316164938649,0.9470889262907188,0.9148114633546556,0.9155766985295241,0.8721769358945488,0.7907534142638043
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator4,24292,0.9389922608266096,0.9158686454878951,0.9180087554777554,0.8756521224899514,0.876224211641261,0.8241602022604979,0.7157698030875547
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator5,24292,0.96558537790219,0.9539451896487569,0.7167341618522026,0.9310132681190149,0.9311352214106675,0.9063713909350986,0.8225889743947744
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator6,24292,0.9524534826280256,0.9569178820598246,0.7077754469459772,0.9064236027737058,0.9077684302633688,0.8565803610670513,0.7830841072372936
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator7,24292,0.9192738350074099,0.8750218400095323,0.8916981863229226,0.832079030046568,0.8340643312959093,0.7616300930667008,0.6435619329042239
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator8,24292,0.8925983863000164,0.8400120952391217,0.8482569106411338,0.7792046326448318,0.7800017594096168,0.7132227394615916,0.562809818215548
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator3,24292,0.9587930182776223,0.9298520421305896,0.9456233087450352,0.9155254605865452,0.9165522102872631,0.8757233671138501,0.7922022369782317
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator4,24292,0.9398567429606455,0.9146324549170388,0.9188357763846756,0.8778241204268084,0.8785738978454256,0.8276192782801708,0.7187019236662895
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator5,24292,0.9636505845545859,0.9480716806930817,0.7139640542107982,0.9273600340676933,0.9274315217570336,0.9035220835475998,0.8146527504202203
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator6,24292,0.9552527581096657,0.9541410406971034,0.7074279115232762,0.9121819232529045,0.913245448743664,0.8717588860546106,0.7890532096640636
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator7,24292,0.9216202865140787,0.874086359416649,0.8925296445803049,0.8375470215504991,0.8399298268491721,0.773203019685529,0.6556687469099707
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator8,24292,0.8925983863000164,0.8392116055644365,0.8492338464245276,0.7799648131611576,0.7809965485419207,0.7107624014197271,0.5644102360120955
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator4,24292,0.9328173884406389,0.9199607775189746,0.9080465680088072,0.8601568275001699,0.8604671825564333,0.8070662749398404,0.6940903148338873
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator5,24292,0.9500246994895439,0.9481834543237234,0.7013215192383063,0.8978554105990759,0.8991452795342674,0.8579799100453965,0.7610445799222478
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator6,24292,0.9364399802404083,0.9496898687122687,0.6908574743926453,0.8726652972028179,0.8765574691081247,0.8115250475724693,0.7325096807335193
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator7,24292,0.9263955211592294,0.8950808486848532,0.8997935100024314,0.8433838871172228,0.8437672249903394,0.7779532912522497,0.6555678814702881
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator8,24292,0.8896344475547505,0.8473947595008169,0.8441690730360515,0.768144386818991,0.768220622140163,0.6913921276842114,0.5409751436482737
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator5,24292,0.9302239420385312,0.908679041218421,0.6794802635391162,0.8587017357927665,0.8598503421351174,0.8114673456251295,0.6975374812319957
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator6,24292,0.9341758603655524,0.9337147284935318,0.6867393185746213,0.8692925386628391,0.8727175607171669,0.809795976763289,0.7178008584007789
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator7,24292,0.8977441132883254,0.8417935091332424,0.855444684490418,0.7845344903340886,0.7851988545084112,0.7149336769335998,0.570558569739184
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator8,24292,0.8677342334925078,0.8028069960142464,0.8088679962897842,0.7247475579967959,0.7248659725605373,0.6563695709680952,0.49244390445160485
