dataset,n_annotators,n_pairwise_comparisons,total_frames_annotated,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,cohen_kappa_mean,mcc_mean
CalMS21 Task 2,5,10,1722361,0.587981380553702,0.36366716663646165,0.32895675619170517,0.10709882698855706,0.11124012746025029
MARS1,8,28,1818304,0.906520650902092,0.8035393198111029,0.7709196531952476,0.7987126001605034,0.8032185150286512
